"Name","Source","AC","HP","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","CR"
"Adult Moonstone Dragon","FTD","19 (natural armor)","195 (17d12 + 85)","20","18","20","22","20","23","15 (13,000 XP) or 16 (15,000 XP) when encountered in lair"
"Adult Oblex","MPMM","14","75 (10d8 + 30)","8","19","16","19","12","15","5 (1,800 XP)"
"Adult Red Dracolich","TCE","19 (natural armor)","256 (19d12 + 133)","27","10","25","16","13","21","17 (18,000 XP)"
"Adult Red Dragon","MM","19 (natural armor)","256 (19d12 + 133)","27","10","25","16","13","21","17 (18,000 XP)"
"Adult Sapphire Dragon","FTD","18 (natural armor)","225 (18d12 + 108)","23","14","22","18","17","18","15 (13,000 XP) or 16 (15,000 XP) when encountered in lair"
"Adult Silver Dragon","MM","19 (natural armor)","243 (18d12 + 126)","27","10","25","16","13","21","16 (15,000 XP)"
"Adult Solar Dragon","BAM","17 (natural armor)","200 (16d12 + 96)","24","15","22","15","16","14","14 (11,500 XP)"
"Adult Topaz Dragon","FTD","18 (natural armor)","210 (20d12 + 80)","19","12","19","18","17","18","13 (10,000 XP) or 14 (11,500 XP) when encountered in lair"
"Adult White Dragon","MM","18 (natural armor)","200 (16d12 + 96)","22","10","22","8","12","12","13 (10,000 XP)"
"Aerosaur","BGG","14 (natural armor)","155 (10d20 + 50)","26","10","21","3","10","5","10 (5,900 XP)"
"Air Elemental","MM","15","90 (12d10 + 24)","14","20","14","6","10","6","5 (1,800 XP)"
"Air Elemental Myrmidon","MPMM","18 (plate)","117 (18d8 + 36)","18","14","14","9","10","10","7 (2,900 XP)"
"Akroan Hoplite","MOT","18 (breastplate, shield)","52 (8d8 + 16)","16","16","14","11","14","13","3 (700 XP)"
"Albino Dwarf Spirit Warrior","ToA","13 (hide armor)","30 (4d8 + 12)","13","13","17","12","14","11","1 (200 XP)"
"Albino Dwarf Warrior","ToA","13 (hide armor)","30 (4d8 + 12)","13","13","17","12","14","11","1/4 (50 XP)"
"Aldani (Lobsterfolk)","ToA","14 (natural armor)","49 (9d8 + 9)","13","8","12","10","14","10","1 (200 XP)"
"Alhoon","MPMM","15 (natural armor)","150 (20d8 + 60)","11","12","16","19","17","17","10 (5,900 XP)"
"Alkilith","MPMM","17 (natural armor)","168 (16d8 + 96)","12","19","22","6","11","7","11 (7,200 XP)"
"Allip","MPMM","13","40 (9d8)","6","17","10","17","15","16","5 (1,800 XP)"
"Allosaurus","MM","13 (natural armor)","51 (6d10 + 18)","19","13","17","2","12","5","2 (450 XP)"
"Almiraj","ToA","13","3 (1d6)","2","16","10","2","14","10","0 (10 XP)"
"Alseid","MOT","15 (natural armor)","22 (4d8 + 4)","15","10","12","13","14","18","1 (200 XP)"
"Altisaur","BGG","15 (natural armor)","198 (12d20 + 72)","28","6","23","3","12","7","13 (10,000 XP)"
"Amber Golem","CoS","17 (natural armor)","178 (17d10 + 85)","22","9","20","3","11","1","10 (5,900 XP)"
"Ambush Drake","HotDQ","13 (natural armor)","22 (4d6 + 8)","13","15","14","4","11","6","1/2 (100 XP)"
"Amethyst Dragon Wyrmling","FTD","17 (natural armor)","75 (10d8 + 30)","19","10","17","16","13","17","4 (1,100 XP)"
"Amethyst Greatwyrm","FTD","21 (natural armor)","507 (26d20 + 234)","28","14","29","30","24","25","26 (90,000 XP)"
"Amnizu","MPMM","21 (natural armor)","202 (27d8 + 81)","11","13","16","20","12","18","18 (20,000 XP)"
"Amphisbaena","GoS","14","11 (2d8 + 2)","14","18","12","3","10","3","1/2 (100 XP)"
"Amphisbaena","TftYP","12","60 (8d12 + 8)","19","14","12","1","10","3","3 (700 XP)"
"Anarch","GGR","13 (hide armor)","11 (2d8 + 2)","14","13","12","9","11","10","1/4 (50 XP)"
"Anchorite of Talos","DIP","13 (hide armor)","58 (9d8 + 18)","16","13","14","9","15","12","3 (700 XP)"
"Ancient Amethyst Dragon","FTD","20 (natural armor)","444 (24d20 + 192)","26","14","27","26","19","23","23 (50,000 XP) or 24 (62,000 XP) when encountered in lair"
"Ancient Black Dragon","MM","22 (natural armor)","367 (21d20 + 147)","27","14","25","16","15","19","21 (33,000 XP)"
"Ancient Blue Dragon","MM","22 (natural armor)","481 (26d20 + 208)","29","10","27","18","17","21","23 (50,000 XP)"
"Ancient Brass Dragon","MM","20 (natural armor)","297 (17d20 + 119)","27","10","25","16","15","19","20 (25,000 XP)"
"Ancient Bronze Dragon","MM","22 (natural armor)","444 (24d20 + 192)","29","10","27","18","17","21","22 (41,000 XP)"
"Ancient Copper Dragon","MM","21 (natural armor)","350 (20d20 + 140)","27","12","25","20","17","19","21 (33,000 XP)"
"Ancient Crystal Dragon","FTD","20 (natural armor)","222 (12d20 + 96)","25","12","26","20","16","21","19 (22,000 XP) or 20 (25,000 XP) when encountered in lair"
"Ancient Deep Crow","AI","18 (natural armor)","187 (15d12 + 90)","23","16","23","10","15","19","15 (13,000 XP)"
"Ancient Deep Dragon","FTD","20 (natural armor)","201 (13d20 + 65)","23","16","20","19","18","21","18 (20,000 XP) or 19 (22,000 XP) when encountered in lair"
"Ancient Dragon Turtle","FTD","22 (natural armor)","409 (21d20 + 189)","28","12","29","14","19","15","24 (62,000 XP, or 124,000 XP as a mythic encounter)"
"Ancient Emerald Dragon","FTD","20 (natural armor)","332 (19d20 + 133)","25","12","25","20","18","20","21 (33,000 XP) or 22 (41,000 XP) when encountered in lair"
"Ancient Gold Dragon","MM","22 (natural armor)","546 (28d20 + 252)","30","14","29","18","17","28","24 (62,000 XP)"
"Ancient Green Dragon","MM","21 (natural armor)","385 (22d20 + 154)","27","12","25","20","17","19","22 (41,000 XP)"
"Ancient Lunar Dragon","BAM","18 (natural armor)","297 (17d20 + 119)","27","12","24","12","15","17","19 (22,000 XP)"
"Ancient Moonstone Dragon","FTD","20 (natural armor)","330 (20d20 + 120)","22","18","23","20","22","26","21 (33,000 XP) or 22 (41,000 XP) when encountered in lair"
"Ancient Red Dragon","MM","22 (natural armor)","546 (28d20 + 252)","30","10","29","18","15","23","24 (62,000 XP)"
"Ancient Sapphire Dragon","FTD","20 (natural armor)","370 (20d20 + 160)","27","14","27","21","19","20","22 (41,000 XP) or 23 (50,000 XP) when encountered in lair"
"Ancient Sea Serpent","FTD","17 (natural armor)","170 (11d20 + 55)","24","15","20","13","16","12","14 (11,500 XP)"
"Ancient Silver Dragon","MM","22 (natural armor)","487 (25d20 + 225)","30","10","29","18","15","23","23 (50,000 XP)"
"Ancient Solar Dragon","BAM","18 (natural armor)","425 (23d20 + 184)","28","15","26","17","18","16","21 (33,000 XP)"
"Ancient Topaz Dragon","FTD","20 (natural armor)","280 (17d20 + 102)","23","12","23","20","19","20","20 (25,000 XP) or 21 (33,000 XP) when encountered in lair"
"Ancient White Dragon","MM","20 (natural armor)","333 (18d20 + 144)","26","10","26","10","13","14","20 (25,000 XP)"
"Androsphinx","MM","17 (natural armor)","199 (19d10 + 95)","22","10","20","16","18","23","17 (18,000 XP)"
"Angry Sorrowsworn","MPMM","18 (natural armor)","255 (30d8 + 120)","17","10","19","8","13","6","13 (10,000 XP)"
"Anhkolox","DSotDQ","15 (natural armor)","157 (15d12 + 60)","22","11","18","4","14","2","9 (5,000 XP)"
"Animated Armor","MM","18 (natural armor)","33 (6d8 + 6)","14","11","13","1","3","1","1 (200 XP)"
"Animated Ballista","WDMM","15","50","14","10","10","3","3","1","2 (450 XP)"
"Animated Breath","FTD","15 (natural armor; 17 cold form only)","95 (10d10 + 40)","19","11","18","6","10","5","6 (2,300 XP)"
"Animated Broom","CM","15 (natural armor)","17 (5d6)","10","17","10","1","5","1","1/4 (50 XP)"
"Animated Chained Library","CM","14 (natural armor)","45 (6d10 + 12)","15","8","14","1","5","1","1 (200 XP)"
"Animated Drow Statue","OotA","18 (natural armor)","33 (6d8 + 6)","14","11","13","1","3","1","1 (200 XP)"
"Animated Halberd","CoS","15 (natural armor)","17 (5d6)","12","15","11","1","5","1","1/4 (50 XP)"
"Animated Jade Serpent","WDMM","14","11 (2d8 + 2)","10","18","13","2","10","3","1/4 (50 XP)"
"Animated Statue of Lolth","WDMM","17 (natural armor)","230 (20d12 + 100)","22","9","20","3","11","1","11 (7,200 XP)"
"Animated Stove","WDMM","17","50","14","10","10","3","3","1","3 (700 XP)"
"Animated Table","TftYP","15 (natural armor)","39 (6d10 + 6)","18","8","13","1","3","1","2 (450 XP)"
"Animated Tile Chimera","RoT","14 (natural armor)","114 (12d10 + 48)","19","11","19","3","14","10","6 (2,300 XP)"
"Animatronic Allosaurus","KftGV","13 (natural armor)","51 (6d10 + 18)","19","13","17","2","12","5","2 (450 XP)"
"Ankheg","MM","14 (natural armor), 11 while prone","39 (6d10 + 6)","17","11","13","1","13","6","2 (450 XP)"
"Ankylosaurus","MM","15 (natural armor)","68 (8d12 + 16)","19","11","15","2","12","5","3 (700 XP)"
"Ankylosaurus Zombie","ToA","14 (natural armor)","68 (8d12 + 16)","19","9","15","2","6","3","3 (700 XP)"
"Annis Hag","MPMM","17 (natural armor)","90 (12d10 + 24)","21","12","14","13","14","15","6 (2,300 XP) or 8 (3,900 XP) when part of a coven"
"Anvilwrought Raptor","MOT","14 (natural armor)","18 (4d4 + 8)","12","16","14","3","14","1","1/2 (100 XP)"
"Ape","MM","12","19 (3d8 + 6)","16","14","14","6","12","7","1/2 (100 XP)"
"Aphemia","MOT","15 (natural armor)","52 (8d8 + 16)","13","16","15","13","14","16","5 (1,800 XP)"
"Apprentice Wizard","MPMM","10 (13 with mage armor)","13 (3d8)","10","10","10","14","10","11","1/4 (50 XP)"
"Aquatic Ghoul","PotA","12","22 (5d8)","13","15","10","7","10","6","1 (200 XP)"
"Aquatic Troll","RoT","15 (natural armor)","84 (8d10 + 40)","18","13","20","7","9","7","5 (1,800 XP)"
"Arasta","MOT","19 (natural armor)","300 (24d12 + 144)","24","16","23","15","22","17","21 (33,000 XP, or 66,000 XP as a mythic encounter)"
"Arcanaloth","MM","17 (natural armor)","104 (16d8 + 32)","17","12","14","20","16","17","12 (8,400 XP)"
"Archaic","SCC","20 (natural armor)","245 (14d20 + 98)","25","10","24","27","24","20","18 (20,000 XP)"
"Archdruid","MPMM","14 (hide armor)","154 (28d8 + 28)","14","14","12","12","20","11","12 (8,400 XP)"
"Archer","MPMM","16 (studded leather)","75 (10d8 + 30)","11","18","16","11","13","10","3 (700 XP)"
"Archmage","MM","12 (15 with mage armor)","99 (18d8 + 18)","10","14","12","20","15","16","12 (8,400 XP)"
"Archon of Falling Stars","MOT","18 (plate)","144 (17d8 + 68)","20","15","19","15","21","19","12 (8,400 XP)"
"Archon of the Triumvirate","GGR","18 (plate armor)","144 (17d8 + 68)","20","15","19","15","21","18","14 (11,500 XP)"
"Arclight Phoenix","GGR","16","142 (19d8 + 57)","15","22","17","5","12","7","12 (8,400 XP)"
"Armanite","MPMM","16 (natural armor)","94 (9d10 + 45)","21","18","21","8","12","13","7 (2,900 XP)"
"Armored Saber-Toothed Tiger","CoS","17 (half plate armor)","84 (7d10 + 14)","18","14","15","3","12","8","3 (700 XP)"
"Art Elemental Mascot","SCC","11","18 (4d6 + 4)","6","13","12","8","11","15","1/4 (50 XP)"
"Ashen Animated Armor","KftGV","18 (natural armor)","33 (6d8 + 6)","14","11","13","1","3","1","1 (200 XP)"
"Ashen Flying Sword","KftGV","17 (natural armor)","17 (5d6)","12","15","11","1","5","1","1/4 (50 XP)"
"Ashen Heir Anarchist","JttRC","13 (chain shirt)","27 (5d8 + 5)","10","10","12","13","16","13","2 (450 XP)"
"Ashen Heir Assassin","JttRC","15 (studded leather)","78 (12d8 + 24)","11","16","14","13","11","10","8 (3,900 XP)"
"Ashen Heir Mage","JttRC","12 (15 with mage armor)","40 (9d8)","9","14","11","17","12","11","6 (2,300 XP)"
"Ashen Heir Veteran","JttRC","17 (splint armor)","58 (9d8 + 18)","16","13","14","10","11","10","3 (700 XP)"
"Ashen Knight","KftGV","18 (plate armor)","52 (8d8 + 16)","16","11","14","11","11","15","3 (700 XP)"
"Ashen Rider","MOT","18 (plate)","178 (21d8 + 84)","20","16","19","15","21","18","16 (15,000 XP)"
"Ashen Shambling Mound","KftGV","15 (natural armor)","136 (16d10 + 48)","18","8","16","5","10","5","5 (1,800 XP)"
"Ashen Veteran","KftGV","17 (splint armor)","58 (9d8 + 18)","16","13","14","10","11","10","3 (700 XP)"
"Ashen Warhorse","KftGV","11","19 (3d10 + 3)","18","12","13","2","12","7","1/2 (100 XP)"
"Aspect of Bahamut","FTD","23 (natural armor)","585 (30d20 + 270)","30","18","29","25","28","30","30 (155,000 XP, or 310,000 XP as a mythic encounter)"
"Aspect of Tiamat","FTD","23 (natural armor)","574 (28d20 + 280)","30","14","30","21","20","26","30 (155,000 XP, or 310,000 XP as a mythic encounter)"
"Assassin","MM","15 (studded leather)","78 (12d8 + 24)","11","16","14","13","11","10","8 (3,900 XP)"
"Assassin Vine","ToA","13 (natural armor)","85 (10d10 + 30)","18","10","16","1","10","1","3 (700 XP)"
"Astral Blight","LoX","12 (natural armor)","26 (4d8 + 8)","16","8","14","6","10","3","1 (200 XP)"
"Astral Dreadnought","MPMM","20 (natural armor)","297 (17d20 + 119)","28","7","25","5","14","18","21 (33,000 XP)"
"Astral Elf Aristocrat","BAM","16 (elven chain)","103 (23d8)","11","14","10","21","18","18","8 (3,900 XP)"
"Astral Elf Commander","BAM","17 (half plate)","143 (26d8 + 26)","12","15","13","18","18","18","7 (2,900 XP)"
"Astral Elf Honor Guard","BAM","17 (half plate)","93 (17d8 + 17)","14","15","12","17","16","16","5 (1,800 XP)"
"Astral Elf Star Priest","BAM","13 (chain shirt)","90 (20d8)","11","11","10","16","20","17","5 (1,800 XP)"
"Astral Elf Warrior","BAM","16 (breastplate)","58 (13d8)","12","15","10","16","16","15","3 (700 XP)"
"Atropal","ToA","7","225 (18d12 + 108)","19","5","22","25","19","24","13 (10,000 XP)"
"Aurak Draconian","DSotDQ","17 (natural armor)","67 (9d8 + 27)","13","14","16","16","11","17","6 (2,300 XP)"
"Aurelia","GGR","22 (natural armor)","287 (25d8 + 175)","26","24","25","17","25","30","23 (50,000 XP)"
"Aurochs","MPMM","11 (natural armor)","38 (4d10 + 16)","20","10","19","2","12","5","2 (450 XP)"
"Aurumvorax","JttRC","15 (natural armor)","36 (8d6 + 8)","14","13","12","3","12","6","2 (450 XP)"
"Aurumvorax Den Leader","JttRC","16 (natural armor)","52 (8d8 + 16)","18","14","14","3","13","8","4 (1,100 XP)"
"Autognome","BAM","16 (natural armor)","39 (6d6 + 18)","13","6","16","4","11","6","2 (450 XP)"
"Autumn Eladrin","MPMM","19 (natural armor)","165 (22d8 + 66)","12","16","16","14","17","18","10 (5,900 XP)"
"Awakened Brown Bear","WDMM","11 (natural armor)","34 (4d10 + 12)","19","10","16","10","13","7","1 (200 XP)"
"Awakened Elk","WDMM","10","13 (2d10 + 2)","16","10","12","10","10","6","1/4 (50 XP)"
"Awakened Giant Wasp","WDMM","12","13 (3d8)","10","14","10","10","10","3","1/2 (100 XP)"
"Awakened Rat","WDH","10","1 (1d4 - 1)","2","11","9","10","10","4","0 (10 XP)"
"Awakened Shrub","MM","9","10 (3d6)","3","8","11","10","10","6","0 (10 XP)"
"Awakened Tree","MM","13 (natural armor)","59 (7d12 + 14)","19","6","15","10","10","7","2 (450 XP)"
"Awakened White Moose","IDRotF","11 (natural armor)","68 (8d10 + 24)","19","11","16","10","12","6","3 (700 XP)"
"Awakened Zurkhwood","OotA","13 (natural armor)","59 (7d12 + 14)","19","6","15","10","10","7","2 (450 XP)"
"Axe Beak","MM","11","19 (3d10 + 3)","14","12","12","2","10","5","1/4 (50 XP)"
"Axe of Mirabar Soldier","SKT","18 (plate armor)","67 (9d8 + 27)","16","13","16","10","11","10","3 (700 XP)"
"Azer","MM","17 (natural armor, shield)","39 (6d8 + 12)","17","12","15","12","13","10","2 (450 XP)"
"B'rohg","BAM","14 (natural armor)","92 (8d12 + 40)","21","14","21","5","10","7","6 (2,300 XP)"
"Baaz Draconian","DSotDQ","14 (natural armor)","22 (4d8 + 4)","13","11","13","8","8","10","1/2 (100 XP)"
"Babau","MPMM","16 (natural armor)","82 (11d8 + 33)","19","16","16","11","12","13","4 (1,100 XP)"
"Baboon","MM","12","3 (1d6)","8","14","11","4","12","6","0 (10 XP)"
"Badger","MM","10","3 (1d4 + 1)","4","11","12","2","12","5","0 (10 XP)"
"Bael","MPMM","18 (plate)","189 (18d10 + 90)","24","17","20","21","24","24","19 (22,000 XP)"
"Bag Jelly","BGG","8","42 (5d8 + 20)","13","6","19","2","7","2","1 (200 XP)"
"Bakunawa","JttRC","15 (natural armor)","150 (12d20 + 24)","21","12","15","14","17","16","12 (8,400 XP)"
"Balhannoth","MPMM","17 (natural armor)","114 (12d10 + 48)","17","8","18","6","15","8","11 (7,200 XP)"
"Balor","MM","19 (natural armor)","262 (21d12 + 126)","26","15","22","20","16","22","19 (22,000 XP)"
"Banderhobb","MPMM","15 (natural armor)","84 (8d10 + 40)","20","12","20","11","14","8","5 (1,800 XP)"
"Bandit","MM","12 (leather armor)","11 (2d8 + 2)","11","12","12","10","10","10","1/8 (25 XP)"
"Bandit Captain","MM","15 (studded leather)","65 (10d8 + 20)","15","16","14","14","11","14","2 (450 XP)"
"Banshee","MM","12","58 (13d8)","1","14","10","12","11","17","4 (1,100 XP)"
"Baphomet","MPMM","22 (natural armor)","319 (22d12 + 176)","30","14","26","18","24","16","23 (50,000 XP)"
"Barbed Devil","MM","15 (natural armor)","110 (13d8 + 52)","16","17","18","12","14","14","5 (1,800 XP)"
"Bard","MPMM","15 (chain shirt)","44 (8d8 + 8)","11","14","12","10","13","14","2 (450 XP)"
"Barghest","MPMM","17 (natural armor)","60 (8d10 + 16)","19","15","14","13","12","14","4 (1,100 XP)"
"Barlgura","MM","15 (natural armor)","68 (8d10 + 24)","18","15","16","7","14","9","5 (1,800 XP)"
"Barovian Commoner","CoS","10","4 (1d8)","10","10","10","10","10","10","0 (10 XP)"
"Barovian Scout","CoS","13 (leather armor)","16 (3d8 + 3)","11","14","12","11","13","11","1/2 (100 XP)"
"Barovian Witch","CoS","10","16 (3d8 + 3)","7","11","13","14","11","12","1/2 (100 XP)"
"Barrowghast","BGG","12 (natural armor)","138 (12d12 + 60)","21","8","20","5","9","6","7 (2,900 XP)"
"Basilisk","MM","15 (natural armor)","52 (8d8 + 16)","16","8","15","2","8","7","3 (700 XP)"
"Bat","MM","12","1 (1d4 - 1)","2","15","8","2","12","4","0 (10 XP)"
"Battleforce Angel","GGR","18 (plate armor)","66 (12d8 + 12)","16","12","13","11","17","18","5 (1,800 XP)"
"Battlehammer Dwarf","IDRotF","13 (leather armor)","16 (3d8 + 3)","11","14","12","11","13","11","1/2 (100 XP)"
"Bearded Devil","MM","13 (natural armor)","52 (8d8 + 16)","16","15","15","9","11","11","3 (700 XP)"
"Behir","MM","17 (natural armor)","168 (16d12 + 64)","23","16","18","7","14","12","11 (7,200 XP)"
"Beholder","MM","18 (natural armor)","180 (19d10 + 76)","10","14","18","17","15","17","13 (10,000 XP) or 14 (11,500 XP) when encountered in lair"
"Beholder Zombie","MM","15 (natural armor)","93 (11d10 + 33)","10","8","16","3","8","5","5 (1,800 XP)"
"Belashyrra","ERLW","19 (natural armor)","304 (32d8 + 160)","24","21","20","25","22","23","22 (41,000 XP) or 23 (50,000 XP) when encountered in lair"
"Beledros Witherbloom","SCC","22 (natural armor)","444 (24d20 + 192)","28","14","27","18","28","17","24 (62,000 XP)"
"Berbalang","MPMM","14 (natural armor)","49 (14d8 - 14)","9","16","9","17","11","10","2 (450 XP)"
"Berserker","MM","13 (hide armor)","67 (9d8 + 27)","16","12","17","9","11","9","2 (450 XP)"
"Bheur Hag","MPMM","17 (natural armor)","91 (14d8 + 28)","13","16","14","12","13","16","7 (2,900 XP) or 9 (5,000 XP) when part of a coven"
"Big Xorn","WDMM","19 (natural armor)","103 (9d10 + 54)","20","10","22","11","10","11","8 (3,900 XP)"
"Biomancer","GGR","17 (splint armor)","110 (17d8 + 34)","10","15","14","20","14","15","10 (5,900 XP)"
"Black Abishai","MPMM","15 (natural armor)","58 (9d8 + 18)","14","17","14","13","16","11","7 (2,900 XP)"
"Black Bear","MM","11 (natural armor)","19 (3d8 + 6)","15","10","14","2","12","7","1/2 (100 XP)"
"Black Dragon Wyrmling","MM","17 (natural armor)","33 (6d8 + 6)","15","14","13","10","11","13","2 (450 XP)"
"Black Earth Guard","PotA","18 (plate armor)","39 (6d8 + 12)","17","11","14","10","10","9","2 (450 XP)"
"Black Earth Priest","PotA","17 (splint armor)","45 (7d8 + 14)","15","11","14","12","10","16","3 (700 XP)"
"Black Gauntlet of Bane","BGDIA","16 (chain mail)","51 (6d8 + 24)","18","11","18","12","15","18","6 (2,300 XP)"
"Black Greatwyrm","FTD","22 (natural armor)","533 (26d20 + 260)","30","14","30","21","20","26","27 (105,000 XP, or 210,000 XP as a mythic encounter)"
"Black Pudding","MM","7","85 (10d10 + 30)","16","5","16","1","6","1","4 (1,100 XP)"
"Blackguard","MPMM","18 (plate)","119 (14d8 + 56)","18","11","18","11","14","15","8 (3,900 XP)"
"Blink Dog","MM","13","22 (4d8 + 4)","12","17","12","10","13","11","1/4 (50 XP)"
"Blistercoil Weird","GGR","13","45 (7d8 + 14)","16","16","15","5","10","7","4 (1,100 XP)"
"Blood Drinker Vampire","GGR","16 (natural armor)","90 (12d8 + 36)","16","18","17","16","13","19","8 (3,900 XP)"
"Blood Hawk","MM","12","7 (2d6)","6","14","10","3","14","5","1/8 (25 XP)"
"Blood Witch","GGR","12 (15 with mage armor)","78 (12d8 + 24)","16","14","15","13","9","19","7 (2,900 XP)"
"Blood-Toll Harpy","MOT","11","9 (2d8)","12","13","10","6","11","13","1/8 (25 XP)"
"Bloodfray Giant","GGR","14 (natural armor)","103 (9d12 + 45)","23","9","20","7","8","9","6 (2,300 XP)"
"Blue Abishai","MPMM","19 (natural armor)","202 (27d8 + 81)","15","14","17","22","23","18","17 (18,000 XP)"
"Blue Dragon Wyrmling","MM","17 (natural armor)","52 (8d8 + 16)","17","10","15","12","11","15","3 (700 XP)"
"Blue Greatwyrm","FTD","22 (natural armor)","533 (26d20 + 260)","30","14","30","21","20","26","27 (105,000 XP, or 210,000 XP as a mythic encounter)"
"Blue Slaad","MM","15 (natural armor)","123 (13d10 + 52)","20","15","18","7","7","9","7 (2,900 XP)"
"Boar","MM","11 (natural armor)","11 (2d8 + 2)","13","11","12","2","9","5","1/4 (50 XP)"
"Bodak","MPMM","15 (natural armor)","58 (9d8 + 18)","15","16","15","7","12","12","6 (2,300 XP)"
"Bodytaker Plant","VRGR","16 (natural armor)","92 (8d12 + 40)","18","8","20","14","14","18","7 (2,900 XP)"
"Boggle","MPMM","14","18 (4d6 + 4)","8","18","13","6","12","7","1/8 (25 XP)"
"Bone Devil","MM","19 (natural armor)","142 (15d10 + 60)","18","16","18","13","14","16","9 (5,000 XP)"
"Bone Knight","ERLW","20 (bonecraft armor)","84 (13d8 + 26)","18","13","14","12","14","16","5 (1,800 XP)"
"Bone Naga (Guardian)","MM","15 (natural armor)","58 (9d10 + 9)","15","16","12","15","15","16","4 (1,100 XP)"
"Bone Naga (Spirit)","MM","15 (natural armor)","58 (9d10 + 9)","15","16","12","15","15","16","4 (1,100 XP)"
"Bone Whelk","BGDIA","12 (natural armor)","27 (5d10)","10","5","11","6","9","3","1/4 (50 XP)"
"Boneclaw","MPMM","16 (natural armor)","150 (20d10 + 40)","19","16","15","13","15","9","12 (8,400 XP)"
"Boneless","VRGR","12","26 (4d8 + 8)","16","14","15","1","10","1","1 (200 XP)"
"Booyahg Booyahg Booyahg","VGM","12 (15 with mage armor)","40 (9d8)","9","14","11","17","12","11","6 (2,300 XP)"
"Booyahg Caster","VGM","15 (leather armor, shield)","7 (2d6)","8","14","10","10","8","8","1/4 (50 XP)"
"Booyahg Slave of the Archfey","VGM","11 (14 with mage armor)","49 (11d8)","9","13","11","11","12","18","4 (1,100 XP)"
"Booyahg Slave of the Fiend","VGM","12 (15 with mage armor)","78 (12d8 + 24)","10","14","15","12","12","18","7 (2,900 XP)"
"Booyahg Slave of the Great Old One","VGM","12 (15 with mage armor)","91 (14d8 + 28)","9","14","15","12","12","18","6 (2,300 XP)"
